"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 09 04:50:30 EST 2024","Mon Dec 09 04:50:39 EST 2024","8903","Default Suite","WebStudioAutomation","testcases.MachineCatalogPageTest","testcases.MachineCatalogPageTest","deleteMachineCatalog","deleteMachineCatalog",""
"broken","Mon Dec 09 04:49:43 EST 2024","Mon Dec 09 04:49:55 EST 2024","11152","Default Suite","WebStudioAutomation","testcases.MachineCatalogPageTest","testcases.MachineCatalogPageTest","testCreateMachineCatalog","testCreateMachineCatalog",""
